/UA1736,TAIL,TRIP
/UA253,TAIL,PBCS
2K8395,SKBO,SAEZ
2L1601,LSZH,EGLC
2L1601,ZRH,LCY
2L1601,ZRH,CPH
2L1601,LSZH,EDDB
2L1601,ZRH,BER
2L1601,LSZH,EDDF
2L1601,LSZH,LFPG
2L1601,ZRH,CDG
2L1601,LSZH,LIMC
2L1601,LSZH,EKCH
2L1601,LSZH,LIPE
2L1601,ZRH,BLQ
2L1601,ZRH,FLR
2L204K,LSZH,LFPG
2L3F,ZRH,SJJ
2L3F,LSZH,LEMD
2L3F,ZRH,MAD
2L3F,ZRH,MXP
2L3F,ZRH,OSL
2L3F,LSZH,ENGM
2L3F,LSZH,LLBG
2L3F,ZRH,TLV
2L3F,LSZH,ELLX
2L3F,ZRH,LUX
2L3F,LSZH,LIRQ
2L3F,ZRH,FLR
2L3F,LSZH,EPKK
2L3F,LSZH,EDDV
2L3F,LSZH,EGLC
2L3F,ZRH,LCY
2L3F,LSZH,EDDB
2L3F,ZRH,BER
2L3PD,LSZH,LKPR
2L3PD,ZRH,PRG
2L3PD,ZRH,CDG
2L3PD,ZRH,MXP
2L3PD,LSZH,LIMC
2L41L,LSZH,EDDL
2L41L,LHBP,LSZH,LIMC
2L41L,LSZH,LFPG
2L41L,LSZH,LOWG
2L41L,ZRH,DUS
2L41L,ZRH,BUD
2L41L,LSZH,EIDW
2L41L,ZRH,DUB
2L41L,LSZH,EGLC
2L41L,ZRH,LCY
2L41L,ZRH,MXP
2L41L,ZRH,CPH
2L41L,ZRH,CDG
2L41L,ZRH,BER
2L47D,LSZH,ESSA
2L47D,LSZH,EPWA
2L47D,ZRH,ARN
2L47D,LSZH,LEMD
2L47D,ZRH,MAD
2L47D,LSZH,LEAL
2L47D,ZRH,ALC
2L47D,ZRH,MXP
2L47D,ZRH,VCE
2L47D,ZRH,FLR
2L47D,LIPZ,LSZH,EDDB
2L47D,LSZH,LFPG
2L47D,ZRH,CDG
2L47D,ZRH,LGW
2L47D,LSZH,EGKK
2L47D,ZRH,NCE
2L47D,LSZH,LFMN
2L5MB,LEVC,LSZH,LFMN
2L5MB,LSZH,LPPR
2L5MB,ZRH,OPO
2L5MB,LSZH,LFPG
2L5MB,VLC,ZRH,CDG
2L646,LSZH,EDDB
2L646,ZRH,BER
2L646,LSZH,EDDF
2L646,LSZH,EIDW
2L646,ZRH,DUB
2L646,LSZH,LIMC
2L646,LSZH,EGLC
2L646,ZRH,LCY
2L646,LSZH,EGBB
2L646,LSZH,ENGM
2L646,ZRH,OSL
2L646,ZRH,DUS
2L646,LSZH,EPWA
2L646,ZRH,WAW
2L646,LSZH,EGLL
2L646,ZRH,LHR
2L646,ZRH,BHX
2L76P,LSZH,LIRQ
2L76P,ZRH,FLR
2L76P,ZRH,STR
2L76P,LSZH,EGLC
2L76P,ZRH,LCY
2L76P,LSZH,LPAR
2L8CM,VLC,ZRH
2L8CM,LSZH,EKCH
2L8CM,ZRH,CPH
2L9KW,ZRH,FRA
2L9KW,ZRH,TLV
2L9KW,LSZH,LEVC
2L9KW,LSZH,ESSA
2L9KW,ZRH,ARN
2L9KW,LSZH,LLBG
2L9KW,LSZH,EFIV
2L9KW,LSZH,EPWA
2L9KW,ZRH,SJJ
2L9KW,ZRH,FLR
2L9KW,LSZH,EKCH
2L9KW,ZRH,CPH
3O437,GMMN,LFLL
501KN,LFPG,EPWA
5Y0033,KMIA,SAEZ
5Y0033,PANC,ZGSZ
5Y0522,OERK,VVTS
5Y0522,UBBB,GOOD
5Y1332,UAKK,ZHEC
5Y2079,KLAX,ZSPD
5Y5529,KSDF,KMIA
5Y8655,EGNX,EDFH
6B3KW,EFHK,HEGN
6B522,EFHK,HEGN
7L9791,LEZG,UBBB
7L9791,LIMC,UBBB,EDFH
7L9791,EDFH,UBBB
7L9791,VTBS,UBBB
804,CYVR,KSEA
810,CYVR,KSEA
8C3323,KSEA,PANC
8C3338,KRFD,KBDL
:PAD11,KMIA,EGLL
:PAD11,RJTT,EGLL
:PAD11,HKJK,EGLL
:PAD11,EGJJ,EGLL,VABB,EGLL
:PAD11,EGCC,EGLL,GCTS
:PAD11,EGJJ,EGKK
A30757,EGLL,LGAV,EDDL
A32AD,LGAV,EGLL
A32AD,LGAV,EHAM,LGAV
A32EG,LFPG,LGAV
A32EG,EPWA,LGAV,EBBR
A32EG,EDDL,LGTS,EDDL
A32PH,LGAV,EDDL,LGAV
A33EM,EDDF,LGAV,EDDL
A33LG,EGLL,LGAV
A33LG,EFHK,LGAV
A33LG,EDDL,LGTS,EDDL
A33LP,EFHK,LGAV
A33LP,EIDW,LGAV
A33PF,LGAV,LSZH,LGAV,EIDW
A3489,LGAV,LSZH
A3489,LSZH,LGAV,EDDF
A34TS,LGAV,EBBR
A35DL,LGTS,EDDL
